Name,Size,Cost,Category,Sales,Year
Kamias,Medium,100,Tree,3400,2020
Kalamasi,Medium,120,Tree,4080,2020
Papaya,Small,50,Tree,1700,2020
Tundan,Small,80,Tree,3200,2020
Lakatan,Small,150,Tree,10500,2020
Rambutan,Medium,250,Tree,5000,2020
Suha,Small,130,Tree,1950,2020
Atis,Medium,130,Tree,3770,2020
Guyabano,Medium,100,Tree,2200,2020
Lemon,Large,100,Tree,1700,2020
Dalanghita,Small,130,Tree,3120,2020
Langka,Medium,100,Tree,2600,2020
Duhat,Large,130,Tree,3120,2020
Avocado,Small,130,Tree,2340,2020
Sinegwelas,Medium,150,Tree,2700,2020
Chico,Large,100,Tree,900,2020
Guava,Small,130,Tree,1560,2020
Lanzones,Medium,250,Tree,2000,2020
Pot1,Small,50,Tool,2450,2020
Pot2,Medium,100,Tool,8600,2020
pot 3,Large,150,Tool,4500,2020
Pot Design,Large,500,Tool,4500,2020
Yellow Bell,Medium,80,Flower,2240,2020
Milendres White,Medium,100,Flower,1500,2020
Kabalyero,Medium,150,Flower,2700,2020
Bridal Boket,Small,100,Flower,2600,2020
Sampaguita,Small,50,Flower,1500,2020
Soil,,50,Tool,1850,2020
