Name,Size,Cost,Category,Sales,Year
Kamias,Medium,100,Tree,,2022
Kalamasi,Medium,120,Tree,,2022
Papaya,Small,50,Tree,,2022
Tundan,Small,80,Tree,,2022
Lakatan,Small,150,Tree,,2022
Rambutan,Medium,250,Tree,,2022
Suha,Small,130,Tree,,2022
Atis,Medium,130,Tree,,2022
Guyabano,Medium,100,Tree,,2022
Lemon,Large,100,Tree,,2022
Dalanghita,Small,130,Tree,,2022
Langka,Medium,100,Tree,,2022
Duhat,Large,130,Tree,,2022
Avocado,Small,130,Tree,,2022
Sinegwelas,Medium,150,Tree,,2022
Chico,Large,100,Tree,,2022
Guava,Small,130,Tree,,2022
Lanzones,Medium,250,Tree,,2022
Pot1,Small,50,Tool,,2022
Pot2,Medium,100,Tool,,2022
pot 3,Large,150,Tool,,2022
Pot Design,Large,500,Tool,,2022
Yellow Bell,Medium,80,Flower,,2022
Milendres White,Medium,100,Flower,,2022
Kabalyero,Medium,150,Flower,,2022
Bridal Boket,Small,100,Flower,,2022
Sampaguita,Small,50,Flower,,2022
Soil,,50,Tool,,2022
Manga Kalabaw,Small,200,Tree,,2022
Manga Pico,Medium,150,Tree,,2022
